Position	U:
0.0	0.0
0.052333333333333336	0.03487296558396828
0.10466666666666667	0.06965044366098982
0.157	0.10423720818349853
0.20933333333333334	0.1385385553067739
0.26166666666666666	0.17246056270253465
0.314	0.20591034673262143
0.36633333333333334	0.23879631677858648
0.4186666666666667	0.27102842603079863
0.47100000000000003	0.30251841805036345
0.5233333333333333	0.33318006842873493
0.5756666666666667	0.36292942088331787
0.628	0.39168501714259457
0.6803333333333333	0.4193681199913157
0.7326666666666667	0.44590292886502364
0.785	0.4712167874035773
0.8373333333333334	0.495240382395365
0.8896666666666667	0.517907933567466
0.9420000000000001	0.5391573737020868
0.9943333333333334	0.5589305185860842
1.0466666666666666	0.5771732263282295
1.099	0.5938355456079775
1.1513333333333333	0.6088718524498118
1.2036666666666667	0.6222409751486605
1.256	0.6339063070043133
1.3083333333333333	0.6438359065561586
1.3606666666666667	0.6520025850437827
1.413	0.6583839808539484
1.4653333333333334	0.6629626207501086
1.5176666666666667	0.6657259677167965
1.57	0.6666664552878897
1.6223333333333334	0.6657815082647504
1.6746666666666667	0.6630735497675119
1.727	0.658549994600206
1.7793333333333334	0.6522232289478971
1.8316666666666668	0.6441105764614149
1.8840000000000001	0.6342342508225524
1.9363333333333335	0.6226212949196116
1.9886666666666668	0.6093035067998445
2.041	0.5943173526015421
2.0933333333333333	0.5777038667041772
2.1456666666666666	0.559508539370005
2.198	0.5397811921847762
2.2503333333333333	0.5185758416386242
2.3026666666666666	0.49595055122066384
2.355	0.4719672724322881
2.4073333333333333	0.44669167515449404
2.4596666666666667	0.4201929678337166
2.512	0.39254370797853017
2.5643333333333334	0.36381960348610615
2.6166666666666667	0.3340993053424255
2.669	0.3034641922638644
2.7213333333333334	0.2719981478698375
2.7736666666666667	0.23978733099663366
2.826	0.2069199397813611
2.8783333333333334	0.1734859701619744
2.9306666666666668	0.1395769694546489
2.983	0.10528578568324433
3.0353333333333334	0.07070631334723192
3.087666666666667	0.03593323632421156
3.14	0.0015926529164868282
3.1923333333333335	-0.05071890958032193
3.244666666666667	-0.10289159595490298
3.297	-0.15478254942208766
3.3493333333333335	-0.20624968462444515
3.401666666666667	-0.257152076683696
3.454	-0.3073503470745565
3.5063333333333335	-0.3567070452644323
3.558666666666667	-0.4050870250739735
3.611	-0.4523578147279585
3.6633333333333336	-0.4983899795832512
3.715666666666667	-0.5430574765406259
3.7680000000000002	-0.5862379991700274
3.8203333333333336	-0.6278133126042602
3.872666666666667	-0.6676695772841158
3.9250000000000003	-0.7056976606684767
3.9773333333333336	-0.7417934360558843
4.0296666666666665	-0.775858067699354
4.082	-0.8077982814337492
4.134333333333333	-0.837526620074693
4.1866666666666665	-0.8649616828896994
4.239	-0.8900283484858137
4.291333333333333	-0.9126579805034615
4.343666666666667	-0.9327886155532865
4.396	-0.9503651328813763
4.448333333333333	-0.9653394052983055
4.500666666666667	-0.9776704309587342
4.553	-0.9873244456307223
4.605333333333333	-0.9942750151473552
4.657666666666667	-0.9985031077875305
4.71	-0.999997146387718
4.762333333333333	-0.9987530400420018
4.814666666666667	-0.9947741953036056
4.867	-0.9880715068572294
4.919333333333333	-0.9786633276877392
4.971666666666667	-0.9665754188268899
